,RSI Length,RSI Buy Threshold,RSI Sell Threshold,Stop Loss (%),Take Profit (%),Risk (%),Final Equity,Sharpe Ratio,Max Drawdown (%),Total Trades,Total Return (%),CAGR (%),Time in Market (%)
22,2,10,90,0.03,0.1,0.01,204712.45138931274,0.5548240715246269,-13.261079269737802,440,104.71245138931276,2.6085662047929725,27.3284838111539
23,2,10,90,0.03,0.1,0.02,406167.47114944423,0.556747814511493,-25.879352335783228,440,306.1674711494442,5.166883359900831,27.3284838111539
24,2,15,80,0.02,0.05,0.01,308951.48026275646,0.6164516780263127,-17.921393408451898,740,208.95148026275646,4.137795489035523,45.32876907716445
25,2,15,80,0.02,0.05,0.02,878486.8768272403,0.6131334927164253,-35.359545542963886,740,778.4868768272404,8.123766339332029,45.32876907716445
26,2,15,80,0.02,0.1,0.01,313334.1598892213,0.6230859537885465,-17.906120798762455,740,213.3341598892213,4.190533776329541,45.32876907716445
27,2,15,80,0.02,0.1,0.02,902279.1960716253,0.6192764236089974,-35.36167584818023,740,802.2791960716253,8.227671250415014,45.32876907716445
28,2,15,80,0.03,0.05,0.01,213971.14733314514,0.6174107976065695,-11.980976222215368,740,113.97114733314515,2.7718391288321875,45.32876907716445
29,2,15,80,0.03,0.05,0.02,441996.4275341036,0.6155305835879537,-23.791713295067037,740,341.99642753410365,5.486922026113383,45.32876907716445
30,2,15,80,0.03,0.1,0.01,216020.52752113342,0.624222456358496,-11.960841007016821,740,116.02052752113343,2.807057143837155,45.32876907716445
31,2,15,80,0.03,0.1,0.02,450229.4140529635,0.6220008236272827,-23.7784102397689,740,350.22941405296353,5.55692043632261,45.32876907716445
32,2,15,85,0.02,0.05,0.01,306036.7628097534,0.5855710424437534,-19.26570036042673,658,206.03676280975344,4.10232085962805,39.010126943374694
33,2,15,85,0.02,0.05,0.02,861818.0068283082,0.5837882665159791,-36.31368029687845,658,761.8180068283082,8.049341770843066,39.010126943374694
34,2,15,85,0.02,0.1,0.01,306182.0594444275,0.5858496935885183,-19.263214184375197,658,206.18205944442752,4.104096943913937,39.010126943374694
35,2,15,85,0.02,0.1,0.02,862461.9268493654,0.5839757333912062,-36.31258697701043,658,762.4619268493653,8.052242470068638,39.010126943374694
36,2,15,85,0.03,0.05,0.01,212640.4097518921,0.5859793029147671,-13.095151904632116,658,112.6404097518921,2.748796224342631,39.010126943374694
37,2,15,85,0.03,0.05,0.02,436376.92119789135,0.5850738532667399,-25.19215743696398,658,336.37692119789136,5.43841839356598,39.010126943374694
38,2,15,85,0.03,0.1,0.01,212691.28519058228,0.5861980990733674,-13.091452366855046,658,112.69128519058226,2.749679730542476,39.010126943374694
39,2,15,85,0.03,0.1,0.02,436624.4068965913,0.585310554941429,-25.190367464435674,658,336.6244068965913,5.440567159411502,39.010126943374694
40,2,15,90,0.02,0.05,0.01,299508.25942230213,0.5525629587038148,-19.30754613343388,548,199.50825942230213,4.021666710673699,32.02110968478106
41,2,15,90,0.02,0.05,0.02,825516.2015514369,0.5545295355780293,-36.46185615962114,548,725.5162015514369,7.882336192316641,32.02110968478106
42,2,15,90,0.02,0.1,0.01,308471.9970779418,0.5641158820677117,-20.607610093947894,546,208.4719970779418,4.13198199600906,32.02110968478106
43,2,15,90,0.02,0.1,0.02,876004.6188488,0.5668072600660822,-38.26789447826101,546,776.0046188488,8.112770064460761,32.02110968478106
44,2,15,90,0.03,0.05,0.01,209554.36895751953,0.5515311404237402,-13.102973520978978,548,109.55436895751953,2.694819098936252,32.02110968478106
45,2,15,90,0.03,0.05,0.02,424030.99430274946,0.5532747066325904,-25.26723133951167,548,324.0309943027495,5.329707120725891,32.02110968478106
46,2,15,90,0.03,0.1,0.01,213703.26287078857,0.5629289152818844,-14.080608752654264,546,113.70326287078858,2.7672115989019197,32.02110968478106
47,2,15,90,0.03,0.1,0.02,440928.6387081145,0.5649205492431464,-26.815061504151604,546,340.92863870811453,5.477751546530452,32.02110968478106
48,2,20,80,0.02,0.05,0.01,352132.4826602937,0.6553701523924069,-16.606563901673578,860,252.1324826602937,4.6286302498805165,49.9500784481529
49,2,20,80,0.02,0.05,0.02,1129244.4426879901,0.651712380239286,-33.37380072380523,860,1029.2444426879902,9.10405759371049,49.9500784481529
50,2,20,80,0.02,0.1,0.01,359864.1047573091,0.6646685977711545,-16.592669423981107,860,259.86410475730906,4.710341229210191,49.9500784481529
51,2,20,80,0.02,0.1,0.02,1176884.2151489272,0.6604671364355502,-33.37268609291938,860,1076.8842151489273,9.266224400148904,49.9500784481529
52,2,20,80,0.03,0.05,0.01,233716.25872802734,0.6563555492313419,-11.035925585918985,860,133.71625872802736,3.098412186457278,49.9500784481529
53,2,20,80,0.03,0.05,0.02,525060.8222522738,0.6543554244960651,-22.182705307476695,860,425.0608222522738,6.141902266680588,49.9500784481529
54,2,20,80,0.03,0.1,0.01,237104.14989089966,0.6654737195015149,-11.043471192627843,860,137.10414989089966,3.1517575334679027,49.9500784481529
55,2,20,80,0.03,0.1,0.02,540095.7800350192,0.663349493438111,-22.18934360461135,860,440.0957800350192,6.249666688784106,49.9500784481529
56,2,20,85,0.02,0.05,0.01,348441.94946861255,0.6276726939375165,-19.269494276430006,754,248.44194946861253,4.589015426075083,43.63143631436314
57,2,20,85,0.02,0.05,0.02,1104120.6875991835,0.6245573708224342,-36.31175882970488,754,1004.1206875991835,9.015859537375892,43.63143631436314
58,2,20,85,0.02,0.1,0.01,362506.15637779236,0.6446477778690481,-19.263605210241394,754,262.50615637779237,4.737875946127712,43.63143631436314
